recipe_name,ingredients,image_link,carbs,protein,fats,calories,serving_size
Chicken Caesar Salad,"200g Chicken breast, 100g Romaine lettuce, 50g Caesar dressing, 20g Parmesan cheese, 30g Croutons",https://s23209.pcdn.co/wp-content/uploads/2023/01/220905_DD_Chx-Caesar-Salad_051.jpg,10,30,12,320,400
Spaghetti Bolognese,"150g Spaghetti, 200g Ground beef, 100g Tomato sauce, 50g Onion, 10g Garlic, 20g Olive oil",https://www.vickery.tv/wp-content/uploads/2020/12/SMGD-Spaghetti-Bolognese.jpg,40,25,15,450,530
Avocado Toast,"2 slices Whole grain bread, 100g Avocado, 10g Olive oil, 2g Salt, 2g Pepper",https://www.eatingbirdfood.com/wp-content/uploads/2023/12/avocado-toast-hero-cropped.jpg,20,5,12,250,160
Grilled Salmon,"200g Salmon fillet, 10g Lemon, 10g Olive oil, 5g Garlic, 5g Dill",https://www.thecookierookie.com/wp-content/uploads/2023/05/featured-grilled-salmon-recipe.jpg,2,35,20,400,230
Greek Yogurt with Honey,"200g Greek yogurt, 20g Honey, 30g Almonds",https://www.mygreekdish.com/wp-content/uploads/2014/09/Greek-Yogurt-drizzled-with-Honey-and-Walnuts-Yiaourti-me-meli.jpg,15,12,5,180,250
Beef Tacos,"100g Ground beef, 2 Taco shells, 50g Lettuce, 30g Cheese, 20g Salsa",https://www.onceuponachef.com/images/2023/08/Beef-Tacos.jpg,30,22,18,350,220
Vegetable Stir Fry,"100g Broccoli, 50g Carrots, 50g Bell peppers, 20g Soy sauce, 10g Olive oil",https://therecipecritic.com/wp-content/uploads/2019/08/vegetable_stir_fry.jpg,25,8,10,220,230
Turkey Sandwich,"2 slices Whole grain bread, 100g Turkey slices, 20g Lettuce, 10g Tomato, 10g Mayonnaise",https://www.valyastasteofhome.com/wp-content/uploads/2022/01/Turkey-Sandwich-Recipe.jpg,30,25,12,300,250
Quinoa Salad,"100g Quinoa, 50g Cucumber, 30g Feta cheese, 50g Cherry tomatoes, 10g Olive oil",https://cdn.loveandlemons.com/wp-content/uploads/2020/08/quinoa-salad.jpg,35,10,8,250,240
Banana Pancakes,"100g Bananas, 2 Eggs, 50g Oats, 5g Cinnamon",https://feelgoodfoodie.net/wp-content/uploads/2022/05/Banana-Pancakes-08.jpg,40,10,8,300,180
Chicken Fajitas,"150g Chicken breast, 100g Bell peppers, 50g Onions, 10g Fajita seasoning, 2 Tortillas",https://joyfoodsunshine.com/wp-content/uploads/2022/03/chicken-fajitas-recipe-square.jpg,30,25,10,350,300
